Word; Occurrence
OLE; 50
ETTÄ; 137
LUE; 5
JA; 809
...; 1
TÄMÄ; 8
VOIDA; 1
..; 21
JOTKA; 19
LISÄÄ; 11
SE; 90
OLLA; 38
EI; 157
HÄN; 31
JOKA; 45
ON; 609
KATSO; 14
TÄSTÄ; 12
UUTISET; 3
OLI; 76
; 1
